url_name,mean,median
tranquil_cleave,15.947368421052632,10
link_health,62.02777777777778,74.5
pack_leader,12.384615384615385,10
soul_survivor,30.583333333333332,24.0
thumper,17.4,15
rush,15.692307692307692,12
infected_clip,15.25,9.5
cleanse_infested,12.571428571428571,8
blaze,96.52941176470588,99
vacuum,22.714285714285715,10
energy_generator,76.1,67.5
scarlet_hurricane,err,err
vicious_approach,err,err
frost_jaw,20.75,10.0
shock_collar,22.6,19
thrash_landing,46.8,40
motus_impact,10.875,5.0
aero_vantage,14.5,5.0
motus_setup,13,10.0
gale_kick,36.72727272727273,25
motus_signal,16.833333333333332,20.0
deck_12_scene,24.142857142857142,10
ninkondi_prime_blueprint,8.88888888888889,5
zhuge_prime_barrel,39.625,20.0
ninkondi_prime_handle,33.375,24.5
ninkondi_prime_set,86.04545454545455,67.5
wukong_prime_set,112.04081632653062,99
scindo_prime_handle,18,10
vile_precision,11.058823529411764,5
parallax_scope,16.8,12.5
vitality,41.21052631578947,39
sniper_scavenger,53.57142857142857,60
sunika_kubrow_imprint,59.6,20
adarza_kavat_imprint,36.09090909090909,15
rubico_prime_barrel,11.5,10.0
stormbringer,12.75,6.0
arcane_eruption,58.80952380952381,60
arcane_vespa_nyx_helmet,200,200.0
escape_velocity,30.4,37
expel_infested,13.5,9.5
gas_city_cloud_vista_scene,7.5,7.5
combustion_rounds,27.8,16.5
sniper_ammo_mutation,15.941176470588236,15
loki_prime_blueprint,25.333333333333332,20.0
seeking_force,19.444444444444443,20
target_cracker,15.466666666666667,10
fleeting_expertise,29.633333333333333,21.0
critical_delay,27.310344827586206,20
provoked,60.5,12.5
spoiled_strike,15,6.5
incendiary_coat,14.555555555555555,14
arcane_coil_mag_helmet,410,387.5
augur_accord,26.40909090909091,10.0
breach_loader,24.857142857142858,14
dual_kamas_prime_blueprint,21.5,10.0
gaias_tragedy,8.25925925925926,5
latron_prime_barrel,18.77777777777778,15
karak_wraith_barrel,29.8,19
zenurik_lens,9.875,10.0
agility_drift,12.4,5.0
bite,142.0625,146.5
afterburn,26.8,25
rising_storm,23.666666666666668,17.5
ember_prime_set,156.46153846153845,114.5
redirection,45.6,40
fang_prime_set,22.9375,20.0
chilling_globe,20.8,15
mag_prime_set,218.1818181818182,200
exothermic,23.307692307692307,15
nekros_prime_neuroptics,51.25,40.0
eagle_eye,15.666666666666666,12.5
shield_overload,err,err
arc_coil,63.666666666666664,21
chaos_sphere,24.88888888888889,20
hysterical_fixation,err,err
defiled_reckoning,err,err
crash_shot,err,err
ammo_case,17.142857142857142,15
euphona_prime_set,67.58333333333333,47.5
blade_of_truth,21.857142857142858,15
focus_energy,23.642857142857142,15.0
hawk_eye,20.75,21.5
low_current_leap,err,err
boar_prime_blueprint,31.5,31.0
oberon_prime_set,144.11764705882354,100
centaur_blade,27.833333333333332,14.0
sweeping_serration,24.533333333333335,15
agkuza_blade,17.333333333333332,17.0
link_shields,49.93333333333333,17.5
tiberon_prime_blueprint,11.166666666666666,9.0
prisma_dual_cleavers,138.21428571428572,105.0
directed_convergence,60,60.0
saryn_prime_blueprint,46.608695652173914,30
primed_heavy_trauma,192.42857142857142,190.0
arcane_awakening,22.903225806451612,10
gamma_beacon,5007.5,5007.5
arcane_ultimatum,52.65,45.0
dera_vandal_blueprint,17.833333333333332,10.0
prisma_obex,141.7,126.5
bo_prime_set,144,120.0
boar_prime_set,132.9,120.0
ballistica_prime_receiver,9.923076923076923,9
boltor_prime_set,87.5,67.0
strun_wraith_stock,34.5,25.0
strun_wraith_set,91.4375,70.0
kogake_prime_set,129.57142857142858,110
kogake_prime_gauntlet,35.6,23
zephyr_prime_blueprint,20.058823529411764,10
lato_vandal_set,303,250
lato_vandal_blueprint,55,40.0
lato_vandal_barrel,157.8,140
braton_vandal_set,359.6,250
grineer_settlement_artillery_scene,41,5.0
kuva_fortress_crevice_scene,14.285714285714286,5
grineer_sealab_centrifuge_scene,9.3,4.5
corpus_ship_freight_scene,err,err
lua_balcony_scene,10.2,5
reawaken,70.1,56.5
valkyr_prime_neuroptics,12.48,8
centaur_handle,28.5,15.5
augur_message,15.242424242424242,10
true_punishment,49.5,48.0
entropy_detonation,26.25,25.0
rending_crane,14.444444444444445,10.0
air_recon,16.4,10
venka_prime_blueprint,12.066666666666666,10
euphona_prime_blueprint,9.75,5.5
onorix_handle,28.333333333333332,15.0
point_blank,12.5,10.0
reflection,21,20.5
stinging_thorn,24.857142857142858,25
shotgun_amp,25.357142857142858,20.0
magus_anomaly,103.33333333333333,140.0
dual_kamas_prime_handle,23,15.0
virtuos_surge,94.66666666666667,97.5
marked_target,17.466666666666665,10
empowered_blades,47.833333333333336,42.5
kavasa_prime_buckle,50.666666666666664,41.0
strain_eruption,54,30.0
stand_united,22.7,15.0
kavasa_prime_band,12.8,10
kuva_throne_scene,135,110
sanctuary_conduit_scene,err,err
venom_teeth,64.375,35.0
rising_steel,err,err
piercing_fury,err,err
star_amarast,3.3333333333333335,2.0
venerdo_hoverdrive,46.75,37.5
trail_blazer,42.166666666666664,42.5
scan_matter,97,97.0
kinetic_friction,49,45.0
scan_lifeforms,err,err
air_time,39.666666666666664,35.0
rail_guards,43.666666666666664,35.0
assault_mode,23.333333333333332,10.0
mag_locks,39.666666666666664,35.0
inertia_dampeners,36,25.0
akvasto_prime_set,152,130
perpetual_agony,21.666666666666668,25
armored_agility,11.585365853658537,8
body_count,35.45454545454545,20
arcane_deflection,36,22.5
weeping_wounds,40.35,29.5
akbronco_prime_link,9.222222222222221,6
vermillion_storm,44.57142857142857,50.0
maiming_strike,41.285714285714285,20
investigator,100,100.0
firewalker,66.11111111111111,25.0
hydraulic_crosshairs,18.714285714285715,10
toxic_flight,61.94117647058823,10
laser_sight,30.5,21.5
smite_infested,23,30.0
venom_dose,23.285714285714285,15.0
rending_turn,18.5,18.0
seismic_wave,21.714285714285715,10
dakra_prime_handle,15.555555555555555,10
expel_grineer,23.25,26.5
soma_prime_barrel,31.25,31.5
mag_prime_neuroptics,44.25,39.0
primed_fast_hands,164.9047619047619,170.0
furax_wraith_set,49.666666666666664,35
dead_eye,33.333333333333336,23
melee_riven_mod_(veiled),34.592592592592595,32
corrosive_projection,26.3,20.0
pistol_riven_mod_(veiled),12.037037037037036,10
heavy_trauma,10.3125,5.0
exodia_valor,53.333333333333336,60
charged_chamber,11.818181818181818,7
tidal_impunity,27.142857142857142,20
piercing_caliber,52.25,52.0
arcane_backdraft_ember_helmet,250,250
adhesive_blast,13.210526315789474,5
kinetic_collision,err,err
thundermiter_(miter),16,16.0
finishing_touch,17.88888888888889,10
static_alacrity_(staticor),70,70
ash_prime_chassis,29.294117647058822,25
tigris_prime_blueprint,75.2,70
emergent_aftermath,25,25
fortitude,11.818181818181818,10
ash_prime_systems,124.77777777777777,110
mag_prime_systems,50.5,30.0
prisma_grakata,111.11764705882354,90
mobilize,11,10
vectis_prime_receiver,80.81818181818181,70
automatic_trigger,16.5,10.0
armored_recovery,err,err
vaykor_sydon,84.15384615384616,50
slip_magazine,23,23.5
homing_fang,12,8.0
arcane_grace,496.32608695652175,415.0
maul,60.1578947368421,10
enhanced_vitality,55.333333333333336,42.5
bo_prime_ornament,52,45.0
dera_vandal_receiver,20.5,15.0
ankyros_prime_set,96.94117647058823,88
vile_acceleration,17.35,10.0
barrel_diffusion,13.071428571428571,9.5
whirlwind,17.3125,15.0
antitoxin,15.285714285714286,10
disruptor,23.333333333333332,25
heavy_caliber,51.3448275862069,13.0
piercing_hit,16,19
continuity,18.083333333333332,14.0
tainted_clip,12.7,8.0
shock_trooper,20.571428571428573,16.5
flow,7.9772727272727275,5.0
critical_deceleration,25.96153846153846,20.0
wyrm_prime_carapace,37,32.5
healing_flame,29.1,20.0
atlantis_vulcan,12.583333333333334,9.5
prisma_tetra,125.44444444444444,100
sonic_fracture,23.333333333333332,20.0
paris_prime_set,21.176470588235293,15
trinity_prime_set,137.17391304347825,100
vigilante_armaments,17.321428571428573,10.0
sybaris_prime_blueprint,9.363636363636363,7
beguiling_lantern,31.22222222222222,20
ballistica_prime_set,117.875,94.0
virtuos_fury,57.42857142857143,34
virtuos_null,33.125,17.5
virtuos_tempo,37.625,25.5
exodia_force,73.85714285714286,67.5
virtuos_ghost,54.125,26.5
chromatic_blade,23.428571428571427,22.0
expel_corrupted,20.571428571428573,24
gladiator_aegis,18.11764705882353,15
neutralizing_justice,23.22222222222222,19
radiant_zodian,4.6,4
biting_piranha,err,err
wukong_prime_blueprint,52.3125,47.0
wukong_prime_systems,17.625,15.0
zhuge_prime_string,14.4,10.0
gilded_truth,19.833333333333332,17.0
link_armor,61.875,72.5
sure_footed,21.85,15.0
bleeding_willow,12.666666666666666,10
undying_will,10.466666666666667,5
iron_phoenix,11.529411764705882,10
pointed_wind,17.266666666666666,10
stabilizer,13.533333333333333,10
rifle_scavenger,36.111111111111114,30
quickening,28.6,20
rubedo_lined_barrel,12.692307692307692,10
sundering_strike,10.25,9.0
negate,75.55555555555556,78
peculiar_growth,47.5,32.5
destreza_prime_blade,61.625,45.0
mecha_empowered,22.533333333333335,20
mecha_pulse,14.947368421052632,10
mafic_rain,err,err
crashing_timber,err,err
tainted_hydra,err,err
lashing_coil,err,err
regen,11.125,7.0
aklex_prime_link,95.125,96.0
speed_trigger,15.4,10.0
augur_secrets,35.31111111111111,25
cressas_garrison_scene,175,175.0
arbiters_tribunal_scene,150,150
grineer_forest_industry_scene,err,err
banshee_prime_systems,37.375,31.0
arrow_mutation,14.578947368421053,10
hydroid_prime_blueprint,16.88888888888889,11
hastened_deflection,47.2,42.5
infectious_injection,29,24
wise_razor,27.80952380952381,20
equinox_prime_systems,41.4,37.5
arch_gun_riven_mod_(veiled),35.666666666666664,35.0
paris_prime_blueprint,12.75,8.5
resonating_quake,23.90909090909091,20
flailing_branch,10.61111111111111,10.0
frostbite,27.333333333333332,20.0
gas_city_central_drop_scene,13.333333333333334,10
lua_unairu_lens,50,40
shepherd,16.157894736842106,10
orokin_tower_extraction_scene,err,err
deadly_efficiency,21.705882352941178,20
virtuos_forge,100.42857142857143,75
akvasto_prime_blueprint,95,90.0
akvasto_prime_link,33.333333333333336,25.0
contamination_casing,27.058823529411764,22.0
onkkos_command_post_scene,60,60
flux_overdrive,9.666666666666666,10
onorix_blade,23.555555555555557,14
venka_prime_set,137.52,128
suppress,17.285714285714285,18
target_fixation,29.5,23.5
maglev,19.25,18.5
cleanse_grineer,19.75,22.0
heightened_reflexes,14,14
hunt,20,9
orthos_prime_blueprint,7.833333333333333,4.5
hall_of_malevolence,17.88235294117647,15
smite_grineer,16.444444444444443,20
firestorm,11.366666666666667,10.0
bane_of_corpus,13.285714285714286,10
berserker,18.43243243243243,10
curative_undertow,28.166666666666668,24.5
loose_magazine,err,err
life_strike,8.666666666666666,6
handspring,14.5,10.0
paris_prime_grip,8.3,5.0
lucky_shot,err,err
electrified_barrel,25.94736842105263,15
maximum_capacity,err,err
savior_decoy,29.166666666666668,30.0
stalking_fan,25.066666666666666,15
primed_bane_of_corrupted,417.7647058823529,399
warm_coat,23,26.0
tainted_mag,46.42857142857143,10.0
tactical_retreat,err,err
bright_purity,34.22222222222222,25
frigid_blast,28.8,18
shrapnel_rounds_(marelok),44,41.0
bleeding_edge,76.75,45.0
pax_seeker,33.1875,34.5
mesa_prime_blueprint,12.047619047619047,10
equinox_prime_neuroptics,10.074074074074074,8
